,Title,genres,poster_path,Score,Fantasy,Adventure,Documentary,Thriller,Drama,War,Romance,Family,Animation,Crime,Mystery,Western,TV Movie,Comedy,Science Fiction,Action,Horror,Music,History
2181,Catfight,"Comedy,Drama",/j3kLVDNJlU6IIMmtMmFjtSBat7y.jpg,0.18979505964641066,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
678,Humshakals,Comedy,/jl2BKSOuCH5g1a6Yt4FmbOujEe7.jpg,0.18974976886655873,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2736,Open Grave,"Horror,Thriller,Mystery",/tgXcICQjS3aEbxCYgYMroBXyJGn.jpg,0.1895735486743622,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3355,Parental Guidance,Comedy,/yv9rgYbe1AyOuLoOO5EEbXJaVMr.jpg,0.18952340594193293,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1144,The Vigil,"Horror,Thriller,Mystery",/xNX2hN50YFBMYIZy5UkQxNoE9o3.jpg,0.18946192473548207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2460,Mike and Dave Need Wedding Dates,Comedy,/rK0UwpiE3PSdGahfDZLCummxMwd.jpg,0.18942571978610984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1497,Arkansas,"Crime,Thriller",/ieNGttYsxunAANK9LRZa4LdkEqi.jpg,0.18940489836988797,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2675,Captive,"Crime,Drama,Thriller",/az9yxqEmHLFKuaLuDXcpm6lJ4pB.jpg,0.1893970910934103,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2154,I Am Michael,Drama,/sO9Z55Js4sEuXXe9qQjCULiPjg8.jpg,0.18937660113637958,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2555,We'll Never Have Paris,"Comedy,Romance",/zX0JHMQbo41xCRXSKBJCYQ8fpHq.jpg,0.18937570386837038,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015,Damsel,"Comedy,Western",/dNZxjsJwmKorpPvd0kquJffYROr.jpg,0.18932120531764227,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2615,Adult Beginners,"Comedy,Drama",/H9zeZ4Vr1lPUfOCz07FPn1ENRX.jpg,0.18923937253955234,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2551,The Humbling,"Drama,Comedy",/8x8NUmtcuNqlIH1JDAoxUjoDX7P.jpg,0.18919686890861462,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1420,Mother/Android,"Science Fiction,Thriller",/rO3nV9d1wzHEWsC7xgwxotjZQpM.jpg,0.1891796751512303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3266,360,"Drama,Romance",/w2JD7hy0kZvEAX81yHHpHyjldGK.jpg,0.1890623121714087,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2104,The Nutcracker and the Four Realms,"Fantasy,Adventure,Family",/9vPDY8e7YxLwgVum7YZIUJbr4qc.jpg,0.1890354739725296,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3125,The Fifth Estate,"Drama,Thriller",/1dzLHy1AN8hgppJp1LDzMI4fbHY.jpg,0.18899259142806352,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2679,War Pigs,"War,Action",/lMBrFrd1ETTfE1FMsJbEfuT2qH0.jpg,0.18894733954986082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1326,Cry Macho,"Drama,Western",/bzJBmh8U5ofExJara4nrdqlW8f3.jpg,0.18888952127640918,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3269,2 Days in New York,"Comedy,Drama,Romance",/kkP3yg0Y1v0PdxgDtMDJ9obZizt.jpg,0.18882910734477576,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1949,7 Days in Entebbe,"Thriller,Drama,Crime",/nrC63ikbK4jDp3knvBqxPoWYEMM.jpg,0.1887042833293795,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1532,Fatal Affair,Thriller,/f4EAJ6PXNbxBb2xrdTrT2SlJlCH.jpg,0.18870080636620315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,Wild Mountain Thyme,"Romance,Drama",/vMW81htT6Kki8x0G4UNb7l48iIr.jpg,0.1886848063074918,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1683,Replicas,"Science Fiction,Thriller,Drama",/hhPBTAn9b4TYOxc1JYNsX4BFAlW.jpg,0.18860459308127364,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1566,The Owners,"Thriller,Horror",/zMUpzTRF4f4MkScDkUZM030H2t0.jpg,0.1885788616348588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
994,Jeepers Creepers: Reborn,"Horror,Thriller,Mystery",/pyFyhcXx4kNnLbzEY5z5fc3RehQ.jpg,0.18845545314679682,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1833,10 Minutes Gone,"Crime,Action,Thriller,Mystery",/i8lVYRplWdCEqYOutxpxeCtaD2a.jpg,0.18840143873911688,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2964,Stand Up Guys,"Thriller,Comedy,Action",/mbyYGpLCqeBxM3WrFar5h9winZN.jpg,0.18837449268314643,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3072,Girl Most Likely,Comedy,/6chqhaNb2TwyaMeknbThUzziPWq.jpg,0.18821497557273645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3019,Kiss of the Damned,"Thriller,Horror,Romance",/oUrphKci0e2GyFaInyJLvr8Gbi3.jpg,0.18818121264408072,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1759,Brightburn,"Horror,Science Fiction,Thriller,Mystery",/sJWwkYc9ajwnPRSkqj8Aue5JbKz.jpg,0.18810817685991174,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2909,Young Ones,"Western,Action,Drama,Science Fiction",/6Vbhvo9d4Bv65rEzqFJR7TUD2ve.jpg,0.18808424571129748,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1724,Unicorn Store,"Fantasy,Drama,Comedy",/rGe3eWy3F3qggDZMc86bASN4I7C.jpg,0.18798373858323342,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2976,Snitch,"Thriller,Drama,Action",/unjVtbWDWIQvVUeiPUTzyykQiVF.jpg,0.1879638317278079,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3023,No One Lives,"Horror,Thriller",/dmO5x4STbulw9BlZaVRQF3tHg3t.jpg,0.18788852838677078,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1843,Polaroid,"Horror,Thriller,Mystery",/6a1iqhfM0Y31kNPOSNPIuPrsYQ6.jpg,0.18788698588891953,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2740,Raze,"Horror,Thriller",/q0VnSnewZjsoMfDQu9j3vZ4vQzr.jpg,0.18780426532762276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2595,Tracers,Action,/2XoazCkD4gRlqkJK7q6TOTUx1ta.jpg,0.18777597713046884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1343,Bingo Hell,"Thriller,Horror",/86VKuiaox9eVJTETel0ld7XZtiO.jpg,0.18766682145697577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1486,We Summon the Darkness,"Horror,Thriller",/zXAwq18CJYmzhLZNbLpBf3dG3A5.jpg,0.1875634809143206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1978,Super Troopers 2,"Comedy,Crime,Mystery",/57SZgdugVClIy22rfnANeBJ5KsN.jpg,0.1875329958664628,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2255,Inconceivable,"Thriller,Drama",/ubGjD2DK6Fi4IC5xRc3aEDwVD9i.jpg,0.18742608931528326,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
